CSDUID,CSDNAME,Type,Price,Location,Bedrooms,Bathrooms,Hydro,Heat,Water,Size,Agreement Type,Population
3502036,Clarence-Rockland,1,1500,"45.5483729,-75.2916118",1,1,1,1,1,400,1,27561
3502036,Clarence-Rockland,1,1850,"45.4409054,-75.1615896",2,1,0,0,0,1136.65079,1,27561
3502036,Clarence-Rockland,4,1700,"45.5426508,-75.2980547",2,1.5,0,0,0,1100,1,27561
3502036,Clarence-Rockland,4,1995,"45.5526067,-75.2832864",2,1,1,1,1,1080,1,27561
3502036,Clarence-Rockland,4,2000,"45.5429858,-75.2961355",2,1,0,0,0,900,1,27561
3502036,Clarence-Rockland,6,2225,"45.5486129,-75.2954371",3,1,1,1,1,1650,1,27561
3502036,Clarence-Rockland,2,2595,"45.5366578,-75.2807006",3,2.5,0,0,0,1136.65079,1,27561
3502036,Clarence-Rockland,2,2700,"45.5629391,-75.2221743",3,2.5,1,1,1,2100,1,27561
3502036,Clarence-Rockland,5,2250,"45.5460148,-75.2973037",3,2.5,0,0,0,1100,2,27561
3502036,Clarence-Rockland,5,2400,"45.5558928,-75.2788742",3,1.5,0,0,0,1500,2,27561
3502044,Casselman,1,1300,"45.3157884,-75.0897204",2,1,0,0,0,725,1,3920
3502044,Casselman,1,2500,"45.3107048,-75.0893653",2,1.5,1,1,1,1000,2,3920
3502044,Casselman,1,1650,"45.3107048,-75.0893653",3,1,0,0,0,1300,1,3920
3502044,Casselman,1,1975,"45.3200344,-75.0827344",3.5,1,0,0,1,1270,1,3920
3502044,Casselman,1,2250,"45.3107048,-75.0893653",2,1.5,1,1,1,1000,2,3920
3502044,Casselman,2,2850,"45.3107048,-75.0893653",4,2.5,0,0,0,2400,1,3920
3502044,Casselman,2,2750,"45.3153603,-75.1025348",4,2.5,0,0,0,2000,1,3920
3502044,Casselman,2,2950,"45.3107048,-75.0893653",3,2.5,0,0,0,1781,1,3920
3502044,Casselman,5,2195,"45.3158134,-75.0986758",3,2.5,0,0,0,1800,1,3920
3502048,Russell,5,3000,"45.26747902,-75.35624628",4,3,0,0,0,2300,1,20962
3502048,Russell,1,1850,"45.25884652,-75.36062272",2,2,0,0,0,1250,1,20962
3502048,Russell,2,2700,"45.2838549,-75.2690504",3,3,0,0,0,2300,1,20962
3502048,Russell,3,2000,"45.2763929,-75.2625069",3,1.5,0,0,1,1500,1,20962
3502048,Russell,4,1800,"45.2763187,-75.2689874",2,1,0,0,1,900,1,20962
3502048,Russell,5,2200,"45.275646,-75.275411",3,2,0,0,0,1400,1,20962
3502048,Russell,5,2200,"45.275646,-75.275411",3,1.5,0,0,1,1668,1,20962
3502048,Russell,6,2095,"45.275646,-75.275411",3,2,0,0,1,1250,1,20962
3502048,Russell,1,1500,"45.275646,-75.275411",1,1,1,1,1,680,1,20962
3502048,Russell,1,1650,"45.275646,-75.275411",2,1,0,0,1,1050,1,20962
3502048,Russell,1,1895,"45.2730797,-75.2812118",3,1,0,0,1,1250,1,20962
3502048,Russell,4,1850,"45.2729114,-75.3003126",2,1,0,0,1,1050,1,20962
3502048,Russell,1,1550,"45.2712947,-75.2827918",1.5,1,0,0,0,770,1,20962
3502048,Russell,2,2850,"45.2687796,-75.3584164",3,2.5,0,0,0,1863,1,20962
3502048,Russell,2,2750,"45.2678775,-75.3599953",3.5,2.5,0,0,0,1885,1,20962
3502048,Russell,2,2500,"45.2678294,-75.3586029",3,2.5,0,0,0,1136.65079,1,20962
3502048,Russell,2,2900,"45.2678158,-75.3599557",4,2.5,0,0,0,2100,1,20962
3502048,Russell,3,1650,"45.2617208,-75.3641611",1.5,1,0,0,1,1000,1,20962
3502048,Russell,6,1875,"45.2594569,-75.2525835",2,1,0,0,1,1175,1,20962
3502048,Russell,3,1950,"45.2594569,-75.2525835",2,1,0,0,1,1100,1,20962
3502048,Russell,5,2400,"45.225135,-75.3391816",3,2.5,0,0,0,1800,1,20962
3502048,Russell,1,1800,"45.225135,-75.3391816",2,1,0,0,0,950,1,20962
3502048,Russell,1,1800,"45.257909,-75.3569095",2,1,0,1,1,595,1,20962
3502048,Russell,1,975,"45.275646,-75.275411",1,1,0,0,0,500,1,20962
3502048,Russell,1,1500,"45.2560302,-75.3542377",2,1,0,0,0,1050,1,20962
3502048,Russell,1,1750,"45.225135,-75.3391816",2,1,0,0,0,950,1,20962
3502048,Russell,1,1800,"45.2729114,-75.3003126",2,1.5,0,0,1,1000,1,20962
3502048,Russell,1,2000,"45.2594569,-75.2525835",2,2,0,0,0,1200,1,20962
3502048,Russell,6,1995,"45.2594569,-75.2525835",3,2,0,0,0,1330,1,20962
3502048,Russell,6,1695,"45.2749294,-75.2707639",3,1,0,0,1,1200,1,20962
3502048,Russell,2,2700,"45.2838549,-75.2690504",3,2.5,0,0,0,2000,1,20962
3502048,Russell,2,2195,"45.2594569,-75.2525835",4,2.5,0,0,0,2250,1,20962
3502048,Russell,2,2500,"45.2678294,-75.3586029",3,2.5,0,0,0,1136.65079,1,20962
3502048,Russell,5,2300,"45.2736622,-75.2963952",3,2.5,0,0,0,1939,1,20962
3506008,Ottawa,5,730,"45.33372977,-75.74589822",4,2,1,1,1,400,2,1071868
3506008,Ottawa,5,2000,"45.26828728,-75.88888868",3.5,1.5,0,0,0,1400,1,1071868
3506008,Ottawa,1,1300,"45.27171269,-75.92642971",0.5,1,0,1,1,340,1,1071868
3506008,Ottawa,3,1650,"45.5120701,-75.4084163",2.5,1,0,0,0,1100,1,1071868
3506008,Ottawa,3,1450,"45.5120701,-75.4084163",1,1,1,1,1,1100,1,1071868
3506008,Ottawa,2,2650,"45.50339,-75.46518",3,3.5,0,1,0,1136.65079,1,1071868
3506008,Ottawa,5,2500,"45.5003058,-75.4705832",3,2.5,0,0,0,2165,1,1071868
3506008,Ottawa,1,1930,"45.4990253,-75.479755",1,1,1,1,1,1136.65079,1,1071868
3506008,Ottawa,1,2010,"45.4990253,-75.479755",1,1,1,1,1,1136.65079,1,1071868
3506008,Ottawa,1,4535,"45.4990253,-75.479755",3,2,1,1,1,1136.65079,2,1071868
3506008,Ottawa,1,2595,"45.4990253,-75.479755",1.5,1,1,1,1,1136.65079,1,1071868
3506008,Ottawa,1,3600,"45.4990253,-75.479755",2,2,1,1,1,1136.65079,1,1071868
3506008,Ottawa,1,2010,"45.4913992,-75.4950448",1,1,0,0,0,701,1,1071868
3506008,Ottawa,1,1885,"45.4913992,-75.4950448",1.5,1,0,0,0,817,1,1071868
3506008,Ottawa,1,2450,"45.4913992,-75.4950448",2,2,0,0,0,1255,1,1071868
3506008,Ottawa,1,1600,"45.4885072,-75.5057196",1,1,1,1,1,702,1,1071868
3506008,Ottawa,5,2500,"45.4878005,-75.5092637",3,3,0,0,0,1786,1,1071868
3506008,Ottawa,2,2200,"45.4875578,-75.4753686",3,2.5,0,0,0,1136.65079,1,1071868
3506008,Ottawa,1,1850,"45.4866655,-75.4444461",2,1,1,1,1,1000,1,1071868
3506008,Ottawa,2,2150,"45.4845972,-75.5093304",3,1.5,0,0,0,1136.65079,1,1071868
3506008,Ottawa,4,1500,"45.4838656,-75.5334894",2,1.5,0,0,0,800,1,1071868
3506008,Ottawa,2,3995,"45.48297,-75.42252",4,3,0,0,1,1136.65079,1,1071868
3506008,Ottawa,1,1850,"45.4808672,-75.528588",2,1,0,0,0,1136.65079,1,1071868
3506008,Ottawa,5,2400,"45.4806219,-75.5312694",3,4,0,0,0,1768,1,1071868
3506008,Ottawa,2,2500,"45.4801712,-75.4729414",3,3.5,0,0,0,1990,1,1071868
3506008,Ottawa,5,2200,"45.4801712,-75.4729414",2,2.5,0,0,0,1400,1,1071868
3506008,Ottawa,5,2485,"45.4801712,-75.4729414",3.5,4,0,0,0,1800,1,1071868
3506008,Ottawa,5,2200,"45.4801712,-75.4729414",2,2.5,0,0,0,1700,1,1071868
3506008,Ottawa,5,2350,"45.4801712,-75.4729414",3.5,3,0,0,0,1600,1,1071868
3506008,Ottawa,4,2200,"45.4801712,-75.4729414",1.5,1,0,1,1,800,1,1071868
3506008,Ottawa,5,2550,"45.4801712,-75.4729414",3,3,0,0,0,1800,1,1071868
3506008,Ottawa,3,1350,"45.4801712,-75.4729414",1,1,1,1,1,350,1,1071868
3506008,Ottawa,6,2199,"45.4792065,-75.4748837",3,2,0,1,1,1200,1,1071868
3506008,Ottawa,1,1650,"45.4786582,-75.4670626",1,1,1,1,1,1136.65079,1,1071868
3506008,Ottawa,4,2050,"45.4780351,-75.5168328",2,1,0,0,1,851,1,1071868
3506008,Ottawa,4,1850,"45.4773245,-75.4915746",1,1,0,1,1,607,1,1071868
3506008,Ottawa,3,2250,"45.477007,-75.4553276",1.5,1,1,1,1,1200,1,1071868
3506008,Ottawa,5,2950,"45.4765912,-75.449757",3,4,0,0,0,2000,1,1071868
3506008,Ottawa,5,2250,"45.4759756,-75.5043802",3,2.5,0,0,0,1450,1,1071868
3506008,Ottawa,3,1995,"45.4754827,-75.5213536",3,1,1,1,1,1100,1,1071868
